radius_m,radius_mpc,attractive_acceleration_m_s2,lambda_acceleration_m_s2,net_acceleration_m_s2
2.451439049761225703e+21,7.944572901801354170e-02,-2.208424554235414623e-11,8.011805065159024518e-15,-2.207623373728898864e-11
2.457093030650771407e+21,7.962896205971108088e-02,-2.198272700850157358e-11,8.030283433092988887e-15,-2.197469672506848048e-11
2.462760051840015925e+21,7.981261770874054085e-02,-2.188167514274030645e-11,8.048804419398062987e-15,-2.187362633832090999e-11
2.468440143405007766e+21,7.999669693980027141e-02,-2.178108779985512947e-11,8.067368122368936205e-15,-2.177302043173275975e-11
2.474133335491165028e+21,8.018120072983675461e-02,-2.168096284449206418e-11,8.085974640527013396e-15,-2.167287686985153603e-11
2.479839658313435841e+21,8.036613005804973953e-02,-2.158129815111305823e-11,8.104624072620930798e-15,-2.157319352704043859e-11
2.485559142156449350e+21,8.055148590589723823e-02,-2.148209160395099459e-11,8.123316517627065639e-15,-2.147396828743336657e-11
2.491291817374687691e+21,8.073726925710100755e-02,-2.138334109696459397e-11,8.142052074750082024e-15,-2.137519904488984367e-11
2.497037714392642224e+21,8.092348109765168385e-02,-2.128504453379378590e-11,8.160830843423450011e-15,-2.127688370295036324e-11
2.502796863704971870e+21,8.111012241581384841e-02,-2.118719982771527037e-11,8.179652923309966255e-15,-2.117902017479195969e-11
2.508569295876671406e+21,8.129719420213150916e-02,-2.108980490159810210e-11,8.198518414302293589e-15,-2.108160638318379924e-11
2.514355041543230849e+21,8.148469744943329096e-02,-2.099285768785963995e-11,8.217427416523489563e-15,-2.098464026044311634e-11
2.520154131410794316e+21,8.167263315283754266e-02,-2.089635612842170633e-11,8.236380030327525515e-15,-2.088811974839137960e-11
2.525966596256327795e+21,8.186100230975783265e-02,-2.080029817466684684e-11,8.255376356299830880e-15,-2.079204279831054815e-11
2.531792466927784296e+21,8.204980591990820860e-02,-2.070468178739479014e-11,8.274416495257837511e-15,-2.069640737089953157e-11
2.537631774344258519e+21,8.223904498530829055e-02,-2.060950493677930536e-11,8.293500548251479811e-15,-2.060121143623105369e-11
2.543484549496160911e+21,8.242872051028889147e-02,-2.051476560232495926e-11,8.312628616563770605e-15,-2.050645297370839688e-11
2.549350823445378630e+21,8.261883350149720751e-02,-2.042046177282426116e-11,8.331800801711320209e-15,-2.041212997202255023e-11
2.555230627325434397e+21,8.280938496790200831e-02,-2.032659144631509874e-11,8.351017205444857078e-15,-2.031824042910965493e-11
2.561123992341663187e+21,8.300037592079931303e-02,-2.023315263003800893e-11,8.370277929749813141e-15,-2.022478235210825914e-11
