sample_index,g,m_gev,mmax_gev,alpha,epsilon,static_response_ratio,reversal_fractional_bandwidth,required_q,pole_frequency_hz_20cm,linewidth_hz_20cm
5055059,0.03278502706041909,967191602994.4861,1000000000000.0,0.02928416993975505,8.566886390283757e-06,1.0000000000733915,3.669575754372545e-11,27251106583.87235,1338452.1343384602,4.911551500556598e-05
7792211,0.03194662052983602,942445456225.9238,1000000000000.0,7.411557830276037,8.566774561999115e-06,1.0000000000733897,3.669486936530575e-11,27251766181.391003,20748681.914382298,0.0007613701723505405
4741331,0.031459706323399464,927837779833.8287,989713121954.5402,0.3336940942287741,8.564527824870943e-06,1.000000000073351,3.667555148467727e-11,27266120331.354565,4335505.717678606,0.00015900706316083438
354899,0.03251590690283009,958809859815.0765,1000000000000.0,0.014680951182349702,8.562935181609727e-06,1.000000000073324,3.6662006763776844e-11,27276193756.748466,939904.6703519124,3.445879138174726e-05
5259475,0.031638137673391326,932626896308.0887,1000000000000.0,0.052894905267039306,8.56018323591956e-06,1.0000000000732767,3.663847003565479e-11,27293716113.87834,1735915.8648578916,6.360130139901363e-05
9828947,0.032695065776858545,963570386282.3303,1000000000000.0,0.05367704675931567,8.558295258143643e-06,1.0000000000732445,3.6622260779495264e-11,27305796494.133923,1807121.5340051353,6.618087607857758e-05
746579,0.033177489940178266,977650756928.1232,1000000000000.0,0.018231315643958683,8.557092986315475e-06,1.0000000000732239,3.661204672766871e-11,27313414282.416313,1068718.6054724432,3.912797552228603e-05
8787539,0.032115722782823285,945354783428.3506,1000000000000.0,1.1735050304706052,8.547973402307693e-06,1.000000000073068,3.6534109071340026e-11,27371681571.52275,8299864.784430064,0.00030322816531174206
7176915,0.030510001692871852,897709215024.8601,930860203299.0432,0.03016771046898043,8.544359014571071e-06,1.000000000073006,3.650302282665052e-11,27394991498.345425,1264224.6275697248,4.614802043819142e-05
1375187,0.029497399367144506,867353248413.2434,870096569424.8171,0.01586526406918807,8.538829027558837e-06,1.0000000000729117,3.6455949370406415e-11,27430365064.412857,886376.4720026419,3.231369578644777e-05
3921107,0.030905648687644238,908698325981.8406,955159120804.0859,0.2773340045645195,8.538231013357698e-06,1.0000000000729015,3.645084234449314e-11,27434208256.39922,3882846.8737928644,0.00014153303924443176
